CASE_ID,STATE,AGE_BINNED,INCOME_BINNED,STANCE,PEOPLE_TOT_3PLUS,DV7,E2,BB1,BB2,BB3,BTE8,BE10,Co3,BE13,PBC3,PBC5,PBC9,SN4,SN5,attitude,subnorms,pbc,intention
784,3,1.0,1,4,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,-0.5,-1.0,0.5,1.0,0.5,0.8125,0.75,-0.3333333333333333,0.5
785,2,1.0,1,2,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0
786,4,1.0,5,2,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,-0.5,0.0,0.0,0.5,0.0,0.375,0.25,-0.16666666666666666,0.0
787,3,2.0,3,3,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,-1.0,-0.5,0.0,0.0,0.0,0.25,0.0,-0.5,0.0
788,1,3.0,4,2,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,-0.5,0.0,-0.5,1.0,0.5,0.6875,0.75,-0.3333333333333333,0.5
789,1,1.0,3,3,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,-0.5,-1.0,-0.5,-1.0,1.0,0.5,0.0,-0.6666666666666666,1.0
790,2,1.0,2,3,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,0.0,0.5,0.5,0.5,0.5,-0.3333333333333333,0.0
791,4,2.0,4,3,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.0,-0.5,-0.5,-0.5,0.5,0.0,0.4375,0.25,-0.5,0.0
792,4,1.0,2,5,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
793,2,4.0,3,6,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
794,3,2.0,1,0,0.0,-0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,-0.5,0.0,0.0,1.0,0.5,0.625,0.75,-0.16666666666666666,-0.5
795,4,2.0,3,3,0.0,-1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,0.0,0.5,0.125,0.25,-0.6666666666666666,-1.0
796,3,1.0,4,1,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,-0.5,0.0,1.0,1.0,0.625,1.0,-0.16666666666666666,0.0
797,2,3.0,5,3,1.0,-1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,-1.0,-1.0,-0.5,0.0,0.5,0.5,0.25,-0.8333333333333334,-1.0
798,2,4.0,3,3,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-1.0,-0.5,-0.5,-1.0,-1.0,0.0,-1.0,-0.6666666666666666,-1.0
799,2,4.0,1,4,0.0,-0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,-0.5,-0.5,0.0,0.5,0.5,0.5625,0.5,-0.3333333333333333,-0.5
800,3,2.0,3,4,0.0,-0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,-1.0,-1.0,0.0,0.5,0.0,0.375,0.25,-0.6666666666666666,-0.5
801,1,2.0,3,3,0.0,-0.5,0.0,0.0,-0.5,0.5,0.0,0.0,-0.5,0.0,-0.5,0.0,0.0,0.5,0.0,-0.0625,0.25,-0.16666666666666666,-0.5
802,4,2.0,2,2,0.0,-0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.5,0.3125,0.25,-0.5,-0.5
803,4,1.0,4,4,0.0,-0.5,-1.0,-0.5,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,0.5,0.0,-0.6875,0.25,-0.6666666666666666,-0.5
804,2,3.0,4,3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.0
805,1,2.0,1,3,0.0,-0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,0.5,0.0,0.25,0.25,0.0,-0.5
