,nodes
1585,20231
1586,43010
1587,63939
1588,13628
1589,48150
1590,65384
1591,77579
1592,66941
1593,57294
1594,579
1595,42225
1596,60719
1597,11623
1598,54800
1599,29024
1600,16901
1601,2589
1602,15296
1603,29679
1604,64282
1605,68792
1606,63744
1607,79910
1608,13375
1609,55509
1610,53642
1611,491
1612,41678
1613,10905
1614,61992
1615,31018
1616,67384
1617,52413
1618,47640
1619,14149
1620,21421
1621,5760
1622,65390
1623,59116
1624,6628
1625,23747
1626,20393
1627,7402
1628,29092
1629,546
1630,29979
1631,57946
1632,28006
1633,38707
1634,57856
1635,39585
1636,11487
1637,78428
1638,60554
1639,70421
1640,66247
1641,25758
1642,80149
1643,37618
1644,70177
1645,10532
1646,7750
1647,70971
1648,68544
1649,29615
1650,71857
1651,7361
1652,6341
1653,68220
1654,22235
1655,16355
1656,27576
1657,36780
1658,57191
1659,61284
1660,56455
1661,20189
1662,22436
1663,6805
1664,63832
1665,24103
1666,79575
1667,4849
1668,1631
1669,17785
1670,29095
1671,76663
1672,53803
1673,13122
1674,66362
1675,64599
1676,36191
1677,56944
1678,64037
1679,19994
1680,49588
1681,68763
1682,73686
1683,77114
1684,65090
1685,15387
1686,47619
1687,50927
1688,20127
1689,25827
1690,42346
1691,67980
1692,79735
1693,78797
1694,37152
1695,31413
1696,23455
1697,65320
1698,1729
1699,8005
1700,72923
1701,79041
1702,26206
1703,19502
1704,51592
1705,49309
1706,55963
1707,40152
1708,61532
1709,20555
1710,16006
1711,3704
1712,11163
1713,76753
1714,25250
1715,5459
1716,73547
1717,50093
1718,37103
1719,1986
1720,55165
1721,4089
1722,26510
1723,47804
1724,10055
1725,70479
1726,48060
1727,59833
1728,66260
1729,47005
1730,22440
1731,48651
1732,45157
1733,43775
1734,80210
1735,19606
1736,62548
1737,15732
1738,1740
1739,2336
1740,73655
1741,50697
1742,47847
1743,52545
1744,13024
1745,11659
1746,67886
1747,68380
1748,50292
1749,35231
1750,3902
1751,20065
1752,46278
1753,38999
1754,16485
1755,57142
1756,72100
1757,39576
1758,17509
1759,21782
1760,11300
1761,57147
1762,41271
1763,44251
1764,25845
1765,9346
1766,61102
1767,72694
1768,52238
1769,4766
1770,15189
1771,68058
1772,64936
1773,63857
1774,22039
1775,36443
1776,15577
1777,68515
1778,6502
1779,34401
1780,29086
1781,46422
1782,12827
1783,51181
1784,938
1785,8226
1786,23744
1787,40542
1788,78418
1789,71454
1790,20307
1791,65653
1792,42486
1793,4618
1794,36155
1795,22749
1796,43863
1797,21348
1798,3273
1799,24677
1800,5588
1801,7100
1802,21188
1803,19327
1804,63712
1805,62512
1806,73398
1807,25011
1808,67068
1809,40501
1810,24
1811,79979
1812,79338
1813,66756
1814,2823
1815,66743
1816,7961
1817,29119
1818,3621
1819,72840
1820,40296
1821,16767
1822,32142
1823,3309
1824,59175
1825,28032
1826,969
1827,53385
1828,73211
1829,30778
1830,80104
1831,17253
1832,79699
1833,22719
1834,76894
1835,8194
1836,7790
1837,56461
1838,32183
1839,9513
1840,20735
1841,27827
1842,50724
1843,79082
1844,45610
1845,65553
1846,46021
1847,25439
1848,23613
1849,22291
1850,73725
1851,25125
1852,14380
1853,10834
1854,21731
1855,31618
1856,28861
1857,45042
1858,47250
1859,66959
1860,24282
1861,9132
1862,35739
1863,4851
1864,39031
1865,64847
1866,70225
1867,42619
1868,52023
1869,64267
1870,7951
1871,43050
1872,73116
1873,60129
1874,6642
1875,66686
1876,22854
1877,48071
1878,54132
1879,26839
1880,47953
1881,34931
1882,69439
1883,26228
1884,2610
1885,75571
1886,67229
1887,15726
1888,75232
1889,25621
1890,23967
1891,17731
1892,51614
1893,49211
1894,24178
1895,5365
1896,45085
1897,36056
1898,35776
1899,38134
1900,68854
1901,54658
1902,63898
1903,57955
1904,43335
1905,35887
1906,695
1907,68640
1908,38980
1909,28587
1910,44986
1911,50504
1912,7516
1913,23201
1914,59418
1915,43253
1916,44274
1917,22564
1918,62566
1919,40212
1920,70020
1921,36951
1922,71861
1923,60813
1924,45135
1925,27166
1926,48642
1927,73540
1928,11106
1929,143
1930,17229
1931,6410
1932,43754
1933,35958
1934,398
1935,53408
1936,11241
1937,69569
1938,40320
1939,58440
1940,21754
1941,3138
1942,36588
1943,34599
1944,69477
1945,65891
1946,70964
1947,32099
1948,56993
1949,39194
1950,3382
1951,38437
1952,55541
1953,11416
1954,9618
1955,38405
1956,8214
1957,70709
1958,36092
1959,44022
1960,15796
1961,9987
1962,13647
1963,59562
1964,47643
1965,22984
1966,13507
1967,21218
1968,5881
1969,52919
1970,53826
1971,43444
1972,4152
1973,4223
1974,31597
1975,9604
1976,70388
1977,1566
1978,3825
1979,62899
1980,73265
1981,49199
1982,57255
1983,50609
1984,2822
1985,60721
1986,33575
1987,67178
1988,34281
1989,8544
1990,58563
1991,31664
1992,20503
1993,40878
1994,1987
1995,486
1996,48495
1997,60405
1998,21795
1999,62714
2000,79681
2001,72677
2002,39303
2003,14789
2004,25097
2005,48065
2006,25681
2007,18782
2008,60302
2009,72470
2010,77752
2011,59457
2012,12208
2013,10004
2014,76090
2015,49830
2016,62329
2017,50613
2018,64935
2019,46653
2020,59751
2021,59458
2022,28361
2023,58202
2024,78549
2025,40348
2026,72106
2027,24231
2028,72534
2029,43032
2030,42567
2031,45574
2032,73645
2033,33233
2034,73436
2035,617
2036,79017
2037,33612
2038,5322
2039,53967
2040,60244
2041,49408
2042,55774
2043,2759
2044,55351
2045,57735
2046,50888
2047,68006
2048,23493
2049,56001
2050,43237
2051,69463
2052,8434
2053,20255
2054,2343
2055,57514
2056,10166
2057,64753
2058,72930
2059,75706
2060,72555
2061,48419
2062,34286
2063,69330
2064,22352
2065,51468
2066,77458
2067,12895
2068,46140
2069,12496
2070,3340
2071,59811
2072,30701
2073,74346
2074,45849
2075,8117
2076,4294
2077,33353
2078,28600
2079,77221
2080,45239
2081,35643
2082,15081
2083,34527
2084,1275
2085,21436
2086,77441
2087,31449
2088,61889
2089,36164
2090,8767
2091,13874
2092,18331
2093,67080
2094,34300
2095,12721
2096,56166
2097,32109
2098,34151
2099,59142
2100,9216
2101,75040
2102,30683
2103,37213
2104,64872
2105,25027
2106,17813
2107,43632
2108,55521
2109,68064
2110,7340
2111,13354
2112,11892
2113,31905
2114,48598
2115,80046
2116,23158
2117,69904
2118,48423
2119,78295
2120,25476
2121,76876
2122,22126
2123,37589
2124,9492
2125,43661
2126,11595
