,timestep,first_agent,agent1_initial_attitude,agent1_final_attitude,second_agent,agent2_initial_attitude,agent2_final_attitude
20730,8,6805,1.0,1.0,6630,0.22181997218673535,0.22181997218673535
20731,8,6805,1.0,1.0,6502,0.400424487386975,0.400424487386975
20732,8,6628,0.23885913336577802,0.23885913336577802,6503,0.4717875044754744,0.4537146212209868
20733,8,3257,0.3125,0.3125,3257,0.3125,0.3125
20734,8,16624,-0.0625,-0.0625,16624,-0.0625,-0.0625
20735,8,13024,0.53125,0.53125,13024,0.53125,0.53125
20736,8,13024,0.53125,0.53125,13164,0.875,0.875
20737,8,64070,0.6171875,0.6171875,64050,0.734375,0.734375
20738,8,64161,0.9375,0.9375,64070,0.6171875,0.6171875
20739,8,45675,0.48295454545454547,0.48295454545454547,45641,0.3125,0.3465909090909091
20740,8,21731,0.125,0.125,21731,0.125,0.125
20741,8,36666,0.5625,0.5625,36666,0.5625,0.5625
20742,8,48358,0.65625,0.65625,48358,0.65625,0.65625
20743,8,48592,0.6984375,0.6984375,48592,0.6984375,0.6984375
20744,8,48358,0.65625,0.65625,48182,0.75,0.75
20745,8,20303,0.25,0.25,20303,0.25,0.25
20746,8,48387,-0.9375,-0.9375,48387,-0.9375,-0.9375
20747,8,63337,0.6799999999999999,0.6799999999999999,63329,0.5281530373552868,0.5281530373552868
20748,8,63232,0.75,0.75,63197,0.7226269565217391,0.7226269565217391
20749,8,63268,0.734375,0.734375,63105,0.7125,0.7125
20750,8,63224,0.625,0.625,63268,0.734375,0.734375
20751,8,63224,0.625,0.625,63278,0.6569067391304348,0.6569067391304348
20752,8,63235,0.875,0.875,63224,0.625,0.625
20753,8,63329,0.5281530373552868,0.5281530373552868,63215,-0.8125,-0.8125
20754,8,37017,0.2146002021128411,0.2146002021128411,37050,0.4475955497247659,0.4286444791730154
20755,8,36951,0.25,0.25,37017,0.2146002021128411,0.22168016169027288
20756,8,37213,0.39299618473463277,0.39299618473463277,37213,0.39299618473463277,0.39299618473463277
20757,8,37050,0.4286444791730154,0.4286444791730154,37226,0.18730041808074666,0.2355692302992004
20758,8,49543,0.4375,0.4375,49543,0.4375,0.4375
20759,8,27559,0.5625,0.5625,27559,0.5625,0.5625
20760,8,61102,0.25,0.25,61102,0.25,0.25
20761,8,6037,0.4875,0.4875,5851,0.59375,0.59375
20762,8,6037,0.4875,0.4875,6037,0.4875,0.4875
20763,8,5866,0.6875,0.6875,5588,0.32912367812760024,0.48211345371853187
20764,8,59215,0.1625,0.1625,59215,0.1625,0.1625
20765,8,59215,0.1625,0.1625,59142,0.27322148276330366,0.256932348835266
20766,8,61410,0.18450000000000003,0.18450000000000003,61410,0.18450000000000003,0.18450000000000003
20767,8,19408,0.375,0.375,19408,0.375,0.375
20768,8,20637,0.625,0.625,20606,0.5534413618707688,0.5892206809353844
20769,8,24547,0.50625,0.50625,24593,0.42985294117647055,0.46805147058823526
20770,8,24659,0.625,0.625,24593,0.46805147058823526,0.5465257352941176
20771,8,24547,0.50625,0.50625,24659,0.625,0.625
20772,8,73982,0.426531178355022,0.426531178355022,73837,0.5161332284430278,0.5038127932292487
20773,8,26337,0.375,0.375,26337,0.375,0.375
20774,8,64431,-0.030137112772952147,-0.030137112772952147,64572,0.176895119775081,0.1486775804722711
20775,8,64451,0.48484069618571224,0.48484069618571224,64382,0.42421213728815665,0.43623821075376873
20776,8,42567,0.125,0.125,42567,0.125,0.125
20777,8,20333,0.375,0.375,20333,0.375,0.375
20778,8,69353,0.18142508391164913,0.18142508391164913,69612,0.16593835807876517,0.16903570324534195
20779,8,27080,0.125,0.125,27080,0.125,0.125
20780,8,22454,0.3587184751587066,0.3587184751587066,22454,0.3587184751587066,0.3587184751587066
20781,8,2159,0.125,0.125,2159,0.125,0.125
20782,8,3025,0.328562362464456,0.328562362464456,3567,0.4066944803938034,0.3947048072734169
