,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid
222,1,64367,0.5596120991735537,0.0,1,0,360010136014006
223,1,73112,0.9375,0.25,1,0,360010142012003
224,1,23195,0.74,0.5,1,0,360010146075004
225,1,61527,-0.25,0.0,1,0,360010134003050
226,1,5356,0.16500000000000004,0.75,1,0,360010146071007
227,1,78066,-0.029761904761904656,0.75,1,0,360010146141003
228,1,39506,0.9,0.25,1,0,360010137072000
229,1,46437,0.85,0.0,1,0,360010135032001
230,1,18854,0.84496,0.0,1,0,360010002003000
231,1,57725,0.6446900391319815,0.25,1,0,360010148011116
232,1,73107,0.1875,0.75,1,0,360010142012017
233,1,33703,0.31679999999999997,0.0,1,0,360010145011062
234,1,43050,0.51,0.25,1,0,360010146082003
235,1,39495,0.5172212765957447,0.5,1,0,360010137072000
236,1,32139,0.031999999999999945,0.0,1,0,360010137051000
237,1,44860,0.325,0.5,1,0,360010003002004
238,1,35983,0.7,0.0,1,0,360010018014013
239,1,50153,0.125,0.75,1,0,360010146074010
240,1,42898,0.95,0.25,1,0,360010146082003
241,1,24698,0.16249999999999998,0.0,1,0,360010007003001
242,1,6184,-0.04999999999999999,0.5,1,0,360010146112012
243,1,43240,0.41250000000000003,0.5,1,0,360010146082002
244,1,44457,0.375,0.0,1,0,360010148031030
245,1,66632,-0.125,0.5,1,0,360010146073037
246,1,34219,0.3125,0.25,1,0,360010146132009
247,1,54771,0.4625,0.0,1,0,360010137053019
248,1,34242,0.8993333333333333,0.75,1,0,360010146132009
249,1,42209,0.25,0.5,1,0,360010143012041
250,1,59145,0.35,0.25,1,0,360010146063037
251,1,56906,0.6625,0.25,1,0,360010143021042
252,1,42740,0.625,0.0,1,0,360010146082002
253,1,34527,0.4375,0.25,1,0,360010146132009
254,1,26209,0.7311440677966102,0.75,1,0,360010137073013
255,1,56993,0.3375,0.5,1,0,360010143021042
256,1,1276,0.5599999999999999,0.5,1,0,360010138016017
257,1,51275,0.6260578258664412,1.0,1,0,360010140022014
258,1,54805,0.6338333333333332,0.5,1,0,360010137053019
259,1,5229,0.835,0.25,1,0,360010146071007
260,1,46908,0.5,-0.25,1,0,360010135031008
261,1,71558,-0.625,0.25,1,0,360010140023011
262,1,34436,0.5494117647058824,0.25,1,0,360010146132009
263,1,21499,0.5,0.25,1,0,360010133003009
264,1,32197,0.649,0.5,1,0,360010137051000
265,1,5881,0.3583333333333334,0.0,1,0,360010138021004
266,1,26371,0.3430591836734694,0.5,1,0,360010137073013
267,1,42079,0.946,0.25,1,0,360010148022029
268,1,72872,0.25,0.0,1,0,360010142012013
269,1,64558,0.7384512396694215,0.5,1,0,360010136014006
270,1,23307,0.39995,0.5,1,0,360010146075004
271,1,10506,0.5576923076923077,0.0,1,0,360010137031065
272,1,5888,0.45833333333333337,0.5,1,0,360010138021004
273,1,18701,0.9375,0.5,1,0,360010002002001
274,1,72830,0.6587258391155673,0.25,1,0,360010142012013
275,1,42026,0.875,0.0,1,0,360010148022028
276,1,17006,0.8246666666666667,0.75,1,0,360010143023008
277,1,18652,0.4375,0.75,1,0,360010002002003
278,1,46943,0.494410447761194,0.5,1,0,360010135031008
279,1,21581,0.4604545454545455,0.0,1,0,360010133003009
280,1,5682,0.6275642857142857,0.5,1,0,360010138021004
281,1,18684,-0.375,0.0,1,0,360010002002003
282,1,59664,0.425,0.75,1,0,360010135081008
