,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid
303,7,7162,0.3125,0.5,1,0,360010003003023
304,7,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
305,7,73606,0.0,0.0,1,0,360010021003000
306,7,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
307,7,31390,-0.75,0.5,1,0,360010018024005
308,7,19130,0.0,0.25,1,0,360010002001030
309,7,45605,0.9375,0.5,1,0,360010005022019
310,7,75888,-0.3125,0.5,1,0,360010139022010
311,7,14078,-0.25,0.0,1,0,360010140011009
312,7,56130,0.1875,0.5,1,0,360010135052000
313,7,78278,0.6875,0.5,1,0,360010146141000
314,7,35066,-0.0625,0.75,1,0,360010004032000
315,7,13519,-0.4375,0.0,1,0,360010139023000
316,7,13055,0.4375,0.75,1,0,360010139021015
317,7,54169,0.8125,0.75,1,0,360010141004003
318,7,38164,1.0,0.5,1,0,360010145031015
319,7,22961,0.4375,0.0,1,0,360010142024013
320,7,39225,0.0625,0.25,1,0,360010137071009
321,7,20849,0.0,0.5,1,0,360010022001002
322,7,34665,0.8125,-1.0,1,0,360010004034012
323,7,25508,0.3125,0.0,1,0,360010019022013
324,7,53642,0.75,0.75,1,0,360010138023005
325,7,72534,0.5,0.5,1,0,360010020001004
326,7,25604,-0.125,0.5,1,0,360010019022012
327,7,5685,0.5,0.75,1,0,360010138021012
328,7,68356,0.1875,1.0,1,0,360010141003000
329,7,72339,0.1875,1.0,1,0,360010020003004
330,7,41801,0.8125,0.25,1,0,360010148012037
331,7,79345,0.25,0.0,1,0,360010146142017
332,7,6481,-0.39375,0.5,1,0,360010146112000
333,7,6383,0.60625,0.25,-0.8333333333333334,0,360010146112000
334,7,69805,0.75,-0.5,-0.8333333333333334,0,360010018012016
335,7,59215,0.125,-0.5,1,0,360010146063039
336,7,67773,0.1875,0.0,1,0,360010137061011
337,7,68058,0.0,0.0,1,0,360010137061012
338,7,27573,0.25,0.0,1,0,360010129001019
339,7,77924,0.3125,0.5,1,0,360010135082021
340,7,31635,0.625,1.0,1,0,360010018023001
341,7,59832,0.625,0.75,1,0,360010135081019
342,7,40688,0.25,1.0,1,0,360010146121026
343,7,28751,0.0,0.25,1,0,360010026004024
344,7,76090,0.1875,0.5,1,0,360010142032006
345,7,47998,0.25,0.75,1,0,360010130003015
346,7,10901,0.75,0.0,1,0,360010146091001
347,7,58440,0.125,0.5,1,0,360010148011092
348,7,52320,0.125,1.0,1,0,360010135083017
349,7,65655,-0.0625,0.5,1,0,360010142021013
350,8,7093,-0.3125,0.0,1,0,360010003003028
351,8,18854,0.0,0.0,1,0,360010002003000
352,8,67886,0.625,0.25,1,0,360010137061001
353,8,7162,0.3125,0.5,1,0,360010003003023
354,8,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
355,8,73606,0.0,0.0,1,0,360010021003000
356,8,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
357,8,31390,-0.75,0.5,1,0,360010018024005
358,8,19130,0.0,0.25,1,0,360010002001030
359,8,45605,0.9375,0.5,1,0,360010005022019
360,8,75888,-0.3125,0.5,1,0,360010139022010
361,8,14078,-0.25,0.0,1,0,360010140011009
362,8,56130,0.1875,0.5,1,0,360010135052000
363,8,78278,0.6875,0.5,1,0,360010146141000
364,8,35066,-0.0625,0.75,1,0,360010004032000
365,8,13519,-0.4375,0.0,1,0,360010139023000
366,8,13055,0.4375,0.75,1,0,360010139021015
367,8,54169,0.8125,0.75,1,0,360010141004003
368,8,38164,1.0,0.5,1,0,360010145031015
369,8,22961,0.4375,0.0,1,0,360010142024013
370,8,39225,0.0625,0.25,1,0,360010137071009
371,8,20849,0.0,0.5,1,0,360010022001002
372,8,34665,0.8125,-1.0,1,0,360010004034012
373,8,25508,0.3125,0.0,1,0,360010019022013
374,8,53642,0.75,0.75,1,0,360010138023005
375,8,72534,0.5,0.5,1,0,360010020001004
376,8,25604,-0.125,0.5,1,0,360010019022012
377,8,5685,0.5,0.75,1,0,360010138021012
378,8,68356,0.1875,1.0,1,0,360010141003000
379,8,72339,0.1875,1.0,1,0,360010020003004
380,8,41801,0.8125,0.25,1,0,360010148012037
381,8,79345,0.25,0.0,1,0,360010146142017
382,8,6481,-0.39375,0.5,1,0,360010146112000
383,8,6383,0.60625,0.25,-0.8333333333333334,0,360010146112000
384,8,69805,0.75,-0.5,-0.8333333333333334,0,360010018012016
385,8,59215,0.125,-0.5,1,0,360010146063039
386,8,67773,0.1875,0.0,1,0,360010137061011
387,8,68058,0.0,0.0,1,0,360010137061012
388,8,27573,0.25,0.0,1,0,360010129001019
389,8,77924,0.3125,0.5,1,0,360010135082021
390,8,31635,0.625,1.0,1,0,360010018023001
391,8,59832,0.625,0.75,1,0,360010135081019
392,8,40688,0.25,1.0,1,0,360010146121026
393,8,28751,0.0,0.25,1,0,360010026004024
394,8,76090,0.1875,0.5,1,0,360010142032006
395,8,47998,0.25,0.75,1,0,360010130003015
396,8,10901,0.75,0.0,1,0,360010146091001
397,8,58440,0.125,0.5,1,0,360010148011092
398,8,52320,0.125,1.0,1,0,360010135083017
399,8,65655,-0.0625,0.5,1,0,360010142021013
400,9,7093,-0.3125,0.0,1,0,360010003003028
401,9,18854,0.0,0.0,1,0,360010002003000
402,9,67886,0.625,0.25,1,0,360010137061001
403,9,7162,0.3125,0.5,1,0,360010003003023
404,9,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
405,9,73606,0.0,0.0,1,0,360010021003000
406,9,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
407,9,31390,-0.75,0.5,1,0,360010018024005
408,9,19130,0.0,0.25,1,0,360010002001030
409,9,45605,0.9375,0.5,1,0,360010005022019
410,9,75888,-0.3125,0.5,1,0,360010139022010
411,9,14078,-0.25,0.0,1,0,360010140011009
412,9,56130,0.1875,0.5,1,0,360010135052000
413,9,78278,0.6875,0.5,1,0,360010146141000
414,9,35066,-0.0625,0.75,1,0,360010004032000
415,9,13519,-0.4375,0.0,1,0,360010139023000
416,9,13055,0.4375,0.75,1,0,360010139021015
417,9,54169,0.8125,0.75,1,0,360010141004003
418,9,38164,1.0,0.5,1,0,360010145031015
419,9,22961,0.4375,0.0,1,0,360010142024013
420,9,39225,0.0625,0.25,1,0,360010137071009
421,9,20849,0.0,0.5,1,0,360010022001002
422,9,34665,0.8125,-1.0,1,0,360010004034012
423,9,25508,0.3125,0.0,1,0,360010019022013
424,9,53642,0.75,0.75,1,0,360010138023005
425,9,72534,0.5,0.5,1,0,360010020001004
426,9,25604,-0.125,0.5,1,0,360010019022012
427,9,5685,0.5,0.75,1,0,360010138021012
428,9,68356,0.1875,1.0,1,0,360010141003000
429,9,72339,0.1875,1.0,1,0,360010020003004
430,9,41801,0.8125,0.25,1,0,360010148012037
431,9,79345,0.25,0.0,1,0,360010146142017
